entity1,entity2,relation
拙政园,HumbleAdministrator’sGarden,外文名
拙政园,江苏省苏州市姑苏区东北街178号,地理位置
拙政园,亚热带季风气候,气候条件
拙政园,全年07:30-17:00,开放时间
拙政园,AAAAA级,景点级别
拙政园,70元（淡季）；80元（旺季）,门票价格
拙政园,78亩（约合5.2公顷）,占地面积
拙政园,见山楼，听雨轩，小飞虹等,著名景点
拙政园,全国重点文物保护单位,保护级别
拙政园,世界文化遗产,保护级别
拙政园,中国华东,所属地区
拙政园,0512-962015,预定电话
留园,LingeringGarden,外文名
留园,江苏省,地理位置
留园,苏州市,地理位置
留园,姑苏区,地理位置
留园,留园路338号,地理位置
留园,亚热带季风气候,气候条件
留园,"3月1日-10月31日07:30-17:30(停止售票17:00,最晚入园17:00)；11月1日-次年2月28日07:30-17:00(停止售票16:30,最晚入园16:30)",开放时间
留园,AAAAA级,景点级别
留园,55元/人次（旺季）；45元/人次（淡季）,门票价格
留园,23300m²,占地面积
留园,冠云峰,著名景点
留园,楠木殿,著名景点
留园,雨过天晴图等,著名景点
留园,第一批全国重点文物保护单位,保护级别
留园,清,所处时代
留园,国务院,批准单位
留园,1-3-124-77,编号
网师园,江苏省苏州市姑苏区带城桥路阔家头巷11号,地理位置
网师园,亚热带季风气候,气候条件
网师园,"4月21日-10月20日07:30-17:30(停止售票17:00,最晚入园17:00)；10月21日-次年4月20日07:30-17:00(停止售票16:30,最晚入园16:30)",开放时间
网师园,AAAA级,景点级别
网师园,旺季40元，淡季30元,门票价格
网师园,殿春簃,著名景点
网师园,《世界文化遗产》,被联合国列为
网师园,春秋适宜游览,适宜游玩季节
网师园,0512－65293190,官方电话
虎丘,HuqiuScenicArea,外文名
虎丘,苏州市姑苏区虎丘山门内8号,地理位置
虎丘,亚热带季风气候,气候条件
虎丘,全年07:30-17:30,开放时间
虎丘,AAAAA级,景点级别
虎丘,70元,门票价格
虎丘,475.9公顷,占地面积
虎丘,虎丘塔,著名景点
虎丘,剑池,著名景点
虎丘,千人石,著名景点
虎丘,34.3米,海拔高度
虎丘,0.19km²,面积
虎丘,中国华东,所属地区
